source,Variation,location,description,attributes_associated_gene,gene_id,transcript_id,protein_id,mapped_to_accession,attributes_p_value,var_class,most_severe_consequence,consequence_terms,assembly_name,MAF,protein_start,protein_end,amino_acids,evidence,clinical_significance,pmid,pop.gnomad_East_Asian,pop.gnomad_African,pop.gnomad,pop.gnomad_Latino,pop.gnomad_Ashkenazi_Jewish,pop.gnomad_Finnish,pop.gnomad_European_Non_Finnish,pop.gnomad_Other,pop.gnomad_South_Asian,protein_length
ClinVar,rs121912705,4:113367764-113367764,Cardiac arrhythmia,ANK2,NA,NA,NA,HP:0011675,NA,SNP,stop_gained,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,NA
ClinVar,rs121912705,4:113367764-113367764,Arrhythmia,ANK2,NA,NA,NA,HP:0011675,NA,SNP,stop_gained,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",not provided,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,NA
ClinVar,rs121912705,4:113367764-113367764,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,stop_gained,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",pathogenic,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,NA
ClinVar,rs138959557,17:8289331-8289331,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,synonymous_variant,regulatory_region_variant,GRCh38,0.0054,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.01085,0.000739,0.0002978,0,0,1.79E-05,0.0005468,3.25E-05,NA
ClinVar,rs139893914,4:113293432-113293432,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,splice_region_variant,regulatory_region_variant,GRCh38,0.0042,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed",benign/likely benign,NA,5.80E-05,0,1.63E-05,0,0,0,2.69E-05,0,0,NA
ClinVar,rs140704891,17:8289059-8289059,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,stop_gained,regulatory_region_variant,GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0,4.09E-06,0,0,0,9.07E-06,0,0,NA
ClinVar,rs141191319,4:113355750-113355750,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,8.00E-04,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0005231,0.002294,0.0004471,0.002648,0.001839,0.003937,0.002927,0.0006498,NA
ClinVar,rs142908806,4:113358989-113358989,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,0.002,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign/likely benign,NA,0,0.0005239,0.002465,0.002147,0.003561,0.001256,0.003781,0.003473,0.0007472,NA
ClinVar,rs146312675,4:113292405-113292405,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,intron_variant,regulatory_region_variant,GRCh38,0.0012,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.001416,0.004088,0.0005219,0.000208,0.002148,0.008123,0.003076,0,NA
ClinVar,rs147679793,17:8289050-8289050,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.001714,0.0001349,0.0002085,0,0,0,0,0,NA
ClinVar,rs150856064,17:8288840-8288840,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,6.00E-04,NA,NA,NA,"Frequency,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",uncertain significance,NA,0,0,8.13E-06,0,0,0,1.79E-05,0,0,NA
